testname,chrome,firefox,webkitgtk
/css/css-position/sticky/position-sticky-bottom.html,3/3,3/3,3/3
/css/css-position/sticky/position-sticky-change-top.html,1/1,1/1,1/1
/css/css-position/sticky/position-sticky-child-multicolumn.html,1/1,1/1,1/1
/css/css-position/sticky/position-sticky-fixed-ancestor-iframe.html,1/1,0/1,1/1
/css/css-position/sticky/position-sticky-fixed-ancestor.html,1/1,0/1,1/1
/css/css-position/sticky/position-sticky-flexbox.html,1/1,1/1,1/1
/css/css-position/sticky/position-sticky-get-bounding-client-rect.html,3/3,3/3,3/3
/css/css-position/sticky/position-sticky-grid.html,1/1,1/1,1/1
/css/css-position/sticky/position-sticky-hyperlink.html,1/1,1/1,1/1
/css/css-position/sticky/position-sticky-inflow-position.html,1/1,1/1,1/1
/css/css-position/sticky/position-sticky-inline.html,1/1,1/1,1/1
/css/css-position/sticky/position-sticky-input-box-gets-focused-after-scroll.html,0/1,0/1,0/1
/css/css-position/sticky/position-sticky-large-top-2.tentative.html,1/1,1/1,0/1
/css/css-position/sticky/position-sticky-left.html,3/3,3/3,3/3
/css/css-position/sticky/position-sticky-margins.html,3/3,3/3,3/3
/css/css-position/sticky/position-sticky-nested-inline.html,1/1,1/1,1/1
/css/css-position/sticky/position-sticky-nested-left.html,5/5,5/5,5/5
/css/css-position/sticky/position-sticky-nested-table.html,1/1,1/1,1/1
/css/css-position/sticky/position-sticky-nested-top.html,5/5,5/5,5/5
/css/css-position/sticky/position-sticky-offset-overflow.html,1/1,1/1,1/1
/css/css-position/sticky/position-sticky-offset-top-left.html,2/2,2/2,2/2
/css/css-position/sticky/position-sticky-overflow-hidden.html,2/2,1/2,2/2
/css/css-position/sticky/position-sticky-overflow-padding.html,3/3,3/3,3/3
/css/css-position/sticky/position-sticky-rendering.html,1/1,1/1,1/1
/css/css-position/sticky/position-sticky-right.html,3/3,3/3,3/3
/css/css-position/sticky/position-sticky-root-scroller.html,1/1,1/1,1/1
/css/css-position/sticky/position-sticky-scroll-reposition.html,1/1,1/1,1/1
/css/css-position/sticky/position-sticky-scroll-with-clip-and-abspos.html,1/1,1/1,1/1
/css/css-position/sticky/position-sticky-scrolled-remove-sibling.html,1/1,0/1,1/1
/css/css-position/sticky/position-sticky-stacking-context.html,1/1,1/1,1/1
/css/css-position/sticky/position-sticky-table-parts.html,1/1,1/1,1/1
/css/css-position/sticky/position-sticky-table-tfoot-bottom.html,1/1,1/1,1/1
/css/css-position/sticky/position-sticky-table-th-bottom.html,1/1,1/1,1/1
/css/css-position/sticky/position-sticky-table-th-left.html,1/1,1/1,1/1
/css/css-position/sticky/position-sticky-table-th-right.html,1/1,1/1,1/1
/css/css-position/sticky/position-sticky-table-th-top.html,1/1,1/1,1/1
/css/css-position/sticky/position-sticky-table-thead-top.html,1/1,1/1,1/1
/css/css-position/sticky/position-sticky-table-tr-bottom.html,1/1,1/1,1/1
/css/css-position/sticky/position-sticky-table-tr-top.html,1/1,1/1,1/1
/css/css-position/sticky/position-sticky-top.html,3/3,3/3,3/3
/css/css-position/sticky/position-sticky-transforms-translate.html,3/3,3/3,3/3
/css/css-position/sticky/position-sticky-transforms.html,3/3,3/3,3/3
/css/css-position/sticky/position-sticky-writing-modes.html,1/1,0/1,1/1
