date,chrome-version,chrome-interop-2021-aspect-ratio,chrome-interop-2021-flexbox,chrome-interop-2021-grid,chrome-interop-2021-position-sticky,chrome-interop-2021-transforms,firefox-version,firefox-interop-2021-aspect-ratio,firefox-interop-2021-flexbox,firefox-interop-2021-grid,firefox-interop-2021-position-sticky,firefox-interop-2021-transforms,safari-version,safari-interop-2021-aspect-ratio,safari-interop-2021-flexbox,safari-interop-2021-grid,safari-interop-2021-position-sticky,safari-interop-2021-transforms,interop-version,interop-interop-2021-aspect-ratio,interop-interop-2021-flexbox,interop-interop-2021-grid,interop-interop-2021-position-sticky,interop-interop-2021-transforms
2021-01-02,89.0.4356.6 dev,886,868,916,880,732,86.0a1,911,883,874,837,719,117 preview,253,819,889,753,632,-,258,903,879,567,593
2021-01-04,89.0.4356.6 dev,886,868,916,880,732,86.0a1,911,883,874,837,719,117 preview,253,819,889,753,632,-,258,903,879,567,593
2021-01-05,89.0.4356.6 dev,886,868,916,880,732,86.0a1,911,883,874,861,719,117 preview,253,819,889,753,632,-,258,903,879,567,593
2021-01-06,89.0.4356.6 dev,886,868,916,880,732,86.0a1,911,883,874,861,719,117 preview,253,819,889,753,634,-,258,903,879,567,595
2021-01-07,89.0.4356.6 dev,886,868,916,880,732,86.0a1,924,883,874,861,719,118 preview,253,827,890,753,632,-,255,912,879,567,593
2021-01-08,89.0.4356.6 dev,886,868,910,880,734,86.0a1,924,885,867,861,719,118 preview,253,828,883,753,634,-,255,910,870,567,595
2021-01-09,89.0.4381.6 dev,892,868,910,880,734,86.0a1,924,885,867,861,719,118 preview,253,828,883,753,632,-,255,910,870,567,593
2021-01-10,89.0.4381.6 dev,892,868,910,880,734,86.0a1,924,885,867,861,719,118 preview,253,828,883,753,632,-,255,910,870,567,593
2021-01-11,89.0.4381.6 dev,892,868,910,880,734,86.0a1,924,885,867,861,719,118 preview,253,828,884,753,632,-,255,910,870,567,593
2021-01-12,89.0.4381.6 dev,892,868,910,880,734,86.0a1,930,885,867,861,719,118 preview,259,828,884,753,634,-,253,910,870,567,595
2021-01-13,89.0.4385.0 dev,892,870,913,880,734,86.0a1,930,885,871,861,719,118 preview,259,828,886,753,634,-,253,911,871,567,595
2021-01-21,89.0.4389.9 dev,905,902,918,880,734,86.0a1,949,946,902,861,719,118 preview,259,856,890,753,632,-,256,882,848,567,593
2021-01-22,89.0.4389.9 dev,905,902,918,880,734,86.0a1,949,946,902,861,719,118 preview,259,856,890,753,632,-,256,882,848,567,593
2021-01-23,89.0.4389.9 dev,905,902,918,880,734,86.0a1,949,946,902,861,719,118 preview,259,856,890,753,632,-,256,882,848,567,593
2021-01-25,89.0.4389.9 dev,905,902,918,880,734,86.0a1,949,946,902,861,719,118 preview,259,856,890,753,634,-,256,882,848,567,595
2021-01-26,89.0.4389.9 dev,905,902,918,880,734,87.0a1,949,947,902,861,719,118 preview,253,857,891,753,634,-,248,882,848,567,595
2021-01-27,89.0.4389.9 dev,905,902,918,880,734,87.0a1,949,948,902,861,719,118 preview,253,857,890,753,632,-,248,883,848,567,593
2021-01-28,89.0.4389.23 dev,901,909,918,880,734,87.0a1,946,957,904,861,719,119 preview,253,865,892,753,662,-,245,882,842,567,602
2021-01-29,90.0.4400.8 dev,908,909,918,880,734,87.0a1,946,957,904,861,719,119 preview,253,865,892,753,662,-,245,882,842,567,602
2021-01-30,90.0.4400.8 dev,908,909,920,880,734,87.0a1,946,957,905,861,719,119 preview,253,865,895,753,661,-,245,882,841,567,600
2021-02-01,90.0.4400.8 dev,901,909,920,880,734,87.0a1,946,956,905,861,719,119 preview,253,865,895,753,661,-,245,882,841,567,600
2021-02-02,90.0.4400.8 dev,908,909,920,880,734,87.0a1,946,956,905,861,719,119 preview,253,865,896,753,661,-,245,882,841,567,600
2021-02-03,90.0.4400.8 dev,927,909,920,880,734,87.0a1,965,956,905,861,719,119 preview,259,865,896,753,661,-,246,882,841,567,600
2021-02-04,90.0.4400.8 dev,927,909,920,880,734,87.0a1,965,956,905,861,719,119 preview,259,865,895,753,662,-,246,882,841,567,602
2021-02-05,90.0.4400.8 dev,927,909,922,880,734,87.0a1,965,957,907,861,719,119 preview,259,865,896,753,662,-,246,882,840,567,602
2021-02-06,90.0.4408.0 dev,930,912,924,880,734,87.0a1,965,957,907,861,719,119 preview,259,865,896,753,662,-,246,883,843,567,602
2021-02-08,90.0.4408.0 dev,930,912,924,880,734,87.0a1,965,957,907,861,719,119 preview,259,865,896,753,662,-,246,883,843,567,602
2021-02-09,90.0.4412.3 dev,936,912,930,880,734,87.0a1,965,957,912,861,719,119 preview,259,865,901,753,662,-,246,883,842,567,602
2021-02-10,90.0.4412.3 dev,936,912,930,880,734,87.0a1,965,957,911,861,719,119 preview,259,865,901,753,662,-,246,882,841,567,602
2021-02-11,90.0.4412.3 dev,936,912,930,880,734,87.0a1,965,957,912,861,719,119 preview,262,865,901,753,662,-,251,882,842,567,602
2021-02-12,90.0.4412.3 dev,934,913,931,880,734,87.0a1,965,958,913,861,719,120 preview,262,866,906,753,662,-,251,883,842,567,602
2021-02-13,90.0.4412.3 dev,934,913,931,880,734,87.0a1,965,958,912,861,719,120 preview,262,866,906,753,662,-,251,883,841,567,602
2021-02-15,90.0.4412.3 dev,934,913,931,880,734,87.0a1,965,958,913,861,719,120 preview,262,866,907,753,662,-,251,883,842,567,602
2021-02-16,90.0.4412.3 dev,934,913,931,880,734,87.0a1,965,958,913,861,719,120 preview,262,866,906,753,662,-,251,883,842,567,602
2021-02-17,90.0.4412.3 dev,932,913,931,880,734,87.0a1,965,958,912,861,719,120 preview,262,866,906,753,662,-,249,883,841,567,602
2021-02-18,90.0.4412.3 dev,932,913,931,880,734,87.0a1,965,959,913,861,719,120 preview,262,866,906,753,662,-,249,883,842,567,602
2021-02-19,90.0.4421.5 dev,947,915,932,976,734,87.0a1,965,960,913,861,719,120 preview,262,867,906,753,662,-,249,884,842,662,602
2021-02-20,90.0.4421.5 dev,947,915,932,976,734,87.0a1,965,960,913,861,719,120 preview,262,867,906,753,662,-,249,884,842,662,602
2021-02-21,90.0.4421.5 dev,947,915,932,976,734,87.0a1,965,961,913,861,719,120 preview,262,867,906,753,662,-,249,885,842,662,602
2021-02-22,90.0.4421.5 dev,941,915,932,976,734,87.0a1,965,961,913,861,719,120 preview,262,867,906,753,661,-,249,885,842,662,600
2021-02-23,90.0.4421.5 dev,947,916,932,976,734,88.0a1,965,962,913,861,719,120 preview,262,868,905,753,662,-,249,885,841,662,602
2021-02-24,90.0.4421.5 dev,947,916,932,976,734,88.0a1,965,962,913,861,720,120 preview,262,868,906,753,662,-,249,885,842,662,603
2021-02-25,90.0.4427.5 dev,963,916,932,976,734,88.0a1,966,962,913,861,720,120 preview,262,868,906,753,662,-,249,885,842,662,603
2021-02-26,90.0.4427.5 dev,963,917,932,976,734,88.0a1,966,964,913,861,720,121 preview,262,867,910,753,662,-,249,880,846,662,603
2021-02-27,90.0.4427.5 dev,963,917,932,976,734,88.0a1,966,964,913,861,720,121 preview,262,867,910,753,662,-,249,880,846,662,603
2021-03-01,90.0.4427.5 dev,963,917,932,976,734,88.0a1,966,964,913,861,720,121 preview,262,867,910,753,662,-,249,880,846,662,603
2021-03-02,90.0.4427.5 dev,963,917,932,976,734,88.0a1,966,964,913,861,720,121 preview,262,871,910,753,662,-,249,885,846,662,603
2021-03-03,90.0.4430.11 dev,968,917,931,880,734,88.0a1,966,964,913,861,720,121 preview,262,872,910,753,662,-,249,885,846,567,603
2021-03-04,90.0.4430.11 dev,968,917,931,880,734,88.0a1,972,964,913,861,720,121 preview,262,872,910,753,662,-,255,885,846,567,603
2021-03-05,90.0.4430.11 dev,968,917,931,880,734,88.0a1,972,964,913,861,720,121 preview,262,872,910,753,662,-,255,885,846,567,603
2021-03-06,90.0.4430.11 dev,968,917,931,880,734,88.0a1,972,964,912,861,720,121 preview,262,872,910,753,662,-,255,885,845,567,603
2021-03-07,90.0.4430.11 dev,968,917,931,880,734,88.0a1,972,964,913,861,720,121 preview,262,872,910,753,662,-,255,885,846,567,603
2021-03-09,90.0.4430.19 dev,968,917,931,880,734,88.0a1,972,964,913,861,720,121 preview,262,872,910,753,662,-,255,885,846,567,603
2021-03-10,90.0.4430.19 dev,968,917,931,880,734,88.0a1,972,964,912,861,720,121 preview,262,872,910,753,662,-,255,885,845,567,603
2021-03-11,90.0.4430.19 dev,968,919,931,880,734,88.0a1,972,968,913,861,720,121 preview,262,874,910,753,662,-,255,884,846,567,603
2021-03-12,91.0.4442.4 dev,968,920,932,976,734,88.0a1,972,968,913,861,720,122 preview,256,883,911,753,662,-,251,892,847,662,603
2021-03-13,91.0.4442.4 dev,968,920,932,976,734,88.0a1,972,968,913,861,720,122 preview,256,883,911,753,662,-,251,892,847,662,603
2021-03-15,91.0.4442.4 dev,968,920,932,976,734,88.0a1,972,968,913,861,720,122 preview,256,883,911,753,662,-,251,892,847,662,603
2021-03-16,91.0.4442.4 dev,968,920,932,976,734,88.0a1,972,968,913,861,720,122 preview,256,883,911,753,662,-,251,892,847,662,603
2021-03-17,91.0.4442.4 dev,968,920,932,976,734,88.0a1,972,968,913,861,720,122 preview,256,883,911,753,662,-,251,892,847,662,603
2021-03-18,91.0.4442.4 dev,968,921,932,976,734,88.0a1,972,969,913,861,720,122 preview,256,883,911,753,662,-,251,891,847,662,603
2021-03-19,91.0.4449.6 dev,968,920,932,976,734,88.0a1,972,973,913,861,720,122 preview,256,883,911,753,662,-,251,886,847,662,603
2021-03-20,91.0.4449.6 dev,968,920,932,976,734,88.0a1,972,973,913,861,720,122 preview,256,883,911,753,662,-,251,881,847,662,603
2021-03-21,91.0.4449.6 dev,968,920,932,976,734,88.0a1,972,973,912,861,720,122 preview,256,883,911,753,662,-,251,881,846,662,603
2021-03-22,91.0.4449.6 dev,968,922,932,976,734,88.0a1,972,971,912,861,720,122 preview,256,885,911,753,662,-,251,881,846,662,603
2021-03-23,91.0.4449.6 dev,968,924,932,976,734,89.0a1,972,975,913,861,720,122 preview,256,888,911,753,662,-,251,881,847,662,603
2021-03-25,91.0.4449.6 dev,968,924,932,976,734,89.0a1,978,976,913,861,720,122 preview,256,888,911,753,662,-,251,882,847,662,603
2021-03-26,91.0.4449.6 dev,968,924,932,976,735,89.0a1,982,976,913,869,721,122 preview,254,888,911,753,663,-,249,882,847,670,605
2021-03-27,91.0.4449.6 dev,968,924,932,976,735,89.0a1,982,976,913,869,721,122 preview,254,888,911,753,663,-,249,882,847,670,604
2021-03-29,91.0.4449.6 dev,968,924,945,976,735,89.0a1,982,976,913,869,721,122 preview,254,888,924,753,663,-,249,882,860,670,604
2021-03-30,91.0.4449.6 dev,968,924,946,976,735,89.0a1,982,976,913,869,721,122 preview,254,888,924,753,663,-,249,882,860,670,604
2021-03-31,91.0.4449.6 dev,968,924,946,976,735,89.0a1,982,976,913,869,721,122 preview,254,888,924,753,663,-,249,882,860,670,604
2021-04-01,91.0.4449.6 dev,968,924,946,976,736,89.0a1,982,976,913,869,723,123 preview,950,891,926,753,666,-,950,885,863,670,607
2021-04-02,91.0.4449.6 dev,968,924,946,976,736,89.0a1,982,976,913,869,723,123 preview,950,891,926,753,666,-,950,885,863,670,607
2021-04-03,91.0.4449.6 dev,968,924,946,976,736,89.0a1,982,977,913,869,723,123 preview,950,892,926,753,666,-,950,884,863,670,607
2021-04-04,91.0.4449.6 dev,968,924,946,976,736,89.0a1,982,977,913,869,723,123 preview,950,892,926,753,666,-,950,884,863,670,607
2021-04-05,91.0.4449.6 dev,968,924,946,976,736,89.0a1,982,977,912,869,723,123 preview,950,892,926,753,666,-,950,884,862,670,607
2021-04-06,91.0.4449.6 dev,968,924,946,976,749,89.0a1,982,977,913,869,736,123 preview,950,892,926,753,679,-,950,884,863,670,619
2021-04-07,91.0.4449.6 dev,968,924,946,976,749,89.0a1,982,977,913,869,736,123 preview,950,892,926,753,679,-,950,884,863,670,619
2021-04-08,91.0.4449.6 dev,968,924,946,976,749,89.0a1,982,979,913,869,736,123 preview,950,894,926,753,679,-,950,882,863,670,619
2021-04-09,91.0.4449.6 dev,968,923,946,976,749,89.0a1,982,982,913,869,736,123 preview,950,893,926,753,679,-,950,882,863,670,619
2021-04-10,91.0.4449.6 dev,968,923,946,976,749,89.0a1,982,982,912,869,736,123 preview,950,893,926,753,679,-,950,882,862,670,619
2021-04-11,91.0.4449.6 dev,968,924,946,976,749,89.0a1,982,983,912,869,736,123 preview,950,893,927,753,679,-,950,883,862,670,619
2021-04-12,91.0.4449.6 dev,968,924,946,976,749,89.0a1,982,983,912,869,736,123 preview,950,893,926,753,679,-,950,883,862,670,619
2021-04-13,91.0.4449.6 dev,968,924,946,976,749,89.0a1,982,983,913,869,736,123 preview,950,893,926,753,679,-,950,883,863,670,619
2021-04-14,91.0.4469.4 dev,968,931,946,976,752,89.0a1,982,983,913,869,736,123 preview,950,893,926,753,679,-,950,886,863,670,619
2021-04-15,91.0.4472.10 dev,968,932,945,880,753,89.0a1,982,983,913,869,736,123 preview,950,893,926,753,679,-,950,888,863,575,620
2021-04-16,91.0.4472.10 dev,968,932,945,880,753,89.0a1,982,983,913,869,736,123 preview,950,893,926,753,679,-,950,888,863,575,620
2021-04-17,91.0.4472.10 dev,968,932,944,880,753,89.0a1,982,983,912,869,736,123 preview,950,893,925,753,679,-,950,888,862,575,620
2021-04-18,91.0.4472.10 dev,968,932,944,880,753,89.0a1,982,983,913,869,736,123 preview,950,893,925,753,679,-,950,888,863,575,620
2021-04-19,91.0.4472.10 dev,968,932,944,880,753,89.0a1,982,983,913,869,736,123 preview,950,893,925,753,679,-,950,888,863,575,620
2021-04-20,91.0.4472.10 dev,968,932,944,880,753,90.0a1,982,984,913,869,736,123 preview,950,893,925,753,679,-,950,888,863,575,620
2021-04-21,91.0.4472.10 dev,968,932,944,880,753,90.0a1,982,984,912,869,736,123 preview,950,893,925,753,679,-,950,888,862,575,620
2021-04-22,91.0.4472.19 dev,968,932,944,880,753,90.0a1,982,984,913,869,736,123 preview,951,893,925,753,679,-,951,888,863,575,620
2021-04-23,91.0.4472.19 dev,968,932,944,880,754,90.0a1,982,984,913,869,736,123 preview,951,893,925,753,679,-,951,888,863,575,622
2021-04-24,91.0.4472.19 dev,968,932,944,880,754,90.0a1,982,984,912,869,736,123 preview,951,893,925,753,679,-,951,888,862,575,622
2021-04-26,91.0.4472.19 dev,968,932,944,880,754,90.0a1,982,984,913,869,736,123 preview,951,893,925,753,679,-,951,888,863,575,622
2021-04-27,91.0.4472.19 dev,968,932,944,880,754,90.0a1,982,984,913,869,736,123 preview,951,893,925,753,679,-,951,888,863,575,621
2021-04-28,91.0.4472.19 dev,968,932,943,880,757,90.0a1,982,984,913,869,737,123 preview,951,893,925,753,679,-,951,888,862,575,621
2021-04-29,91.0.4472.19 dev,968,932,943,880,757,90.0a1,982,984,913,869,737,123 preview,951,893,925,753,679,-,951,888,862,575,621
2021-04-30,91.0.4472.19 dev,968,933,943,880,757,90.0a1,982,985,908,869,737,123 preview,951,893,925,753,679,-,951,887,863,575,621
2021-05-01,91.0.4472.19 dev,968,933,943,880,757,90.0a1,982,985,906,869,737,123 preview,951,893,925,753,679,-,951,887,862,575,621
2021-05-03,91.0.4472.19 dev,955,933,943,880,757,90.0a1,982,985,906,869,737,123 preview,938,893,925,753,679,-,938,887,862,575,621
2021-05-04,91.0.4472.19 dev,955,933,943,880,757,90.0a1,982,985,908,869,737,123 preview,938,893,925,753,679,-,938,887,863,575,621
2021-05-05,91.0.4472.19 dev,955,933,943,880,757,90.0a1,982,985,908,869,737,123 preview,938,893,925,753,679,-,938,887,863,575,621
2021-05-06,91.0.4472.19 dev,955,933,943,880,758,90.0a1,982,985,906,869,737,123 preview,938,893,925,753,682,-,938,887,862,575,623
2021-05-07,91.0.4472.19 dev,955,933,943,880,758,90.0a1,982,985,907,869,737,123 preview,938,893,925,753,682,-,938,887,862,575,623
2021-05-08,91.0.4472.19 dev,955,933,943,880,758,90.0a1,982,985,907,869,737,124 preview,945,893,927,753,682,-,944,887,865,575,623
2021-05-09,91.0.4472.19 dev,955,933,943,880,758,90.0a1,982,985,908,869,737,124 preview,945,893,927,753,680,-,944,887,866,575,621
2021-05-10,91.0.4472.19 dev,955,933,943,880,758,90.0a1,982,985,907,869,737,124 preview,945,893,927,753,682,-,944,887,865,575,623
2021-05-11,91.0.4472.19 dev,955,933,943,880,758,90.0a1,982,985,908,869,737,124 preview,945,893,927,753,682,-,944,887,866,575,623
2021-05-12,91.0.4472.19 dev,954,933,943,880,758,90.0a1,982,985,908,869,737,124 preview,941,892,928,753,682,-,941,887,867,575,623
2021-05-13,91.0.4472.19 dev,954,933,943,880,758,90.0a1,982,985,908,869,737,124 preview,941,892,928,753,682,-,941,887,867,575,623
2021-05-14,91.0.4472.19 dev,954,933,943,880,758,90.0a1,982,985,907,869,737,124 preview,941,892,928,753,682,-,941,887,866,575,623
2021-05-16,91.0.4472.19 dev,954,933,943,880,759,90.0a1,982,985,908,869,738,124 preview,941,892,928,753,682,-,941,887,867,575,623
2021-05-17,91.0.4472.19 dev,954,933,943,880,759,90.0a1,982,985,907,869,738,124 preview,941,892,928,753,683,-,941,887,866,575,624
2021-05-18,91.0.4472.19 dev,954,933,943,880,759,90.0a1,982,985,907,869,740,124 preview,941,892,928,753,683,-,941,887,866,575,624
2021-05-19,91.0.4472.19 dev,954,933,943,880,759,90.0a1,982,985,907,869,740,124 preview,941,892,928,753,683,-,941,887,866,575,624
2021-05-20,91.0.4472.19 dev,954,932,943,880,759,90.0a1,982,984,907,869,740,124 preview,941,893,928,753,683,-,941,887,866,575,624
2021-05-21,91.0.4472.19 dev,954,932,943,880,759,90.0a1,982,984,908,869,740,124 preview,941,893,928,753,683,-,941,887,867,575,624
2021-05-31,91.0.4472.19 dev,954,932,943,880,759,90.0a1,982,984,908,869,740,125 preview,941,898,933,777,684,-,941,890,872,575,625
