date,chrome-version,chrome-interop-2021-aspect-ratio,chrome-interop-2021-flexbox,chrome-interop-2021-grid,chrome-interop-2021-position-sticky,chrome-interop-2021-transforms,firefox-version,firefox-interop-2021-aspect-ratio,firefox-interop-2021-flexbox,firefox-interop-2021-grid,firefox-interop-2021-position-sticky,firefox-interop-2021-transforms,safari-version,safari-interop-2021-aspect-ratio,safari-interop-2021-flexbox,safari-interop-2021-grid,safari-interop-2021-position-sticky,safari-interop-2021-transforms,interop-version,interop-interop-2021-aspect-ratio,interop-interop-2021-flexbox,interop-interop-2021-grid,interop-interop-2021-position-sticky,interop-interop-2021-transforms
2021-01-01,87.0.4280.88,240,851,914,880,706,84.0.1,240,881,874,837,720,14.0 (15610.1.28.1.9),253,762,871,753,615,-,251,837,860,567,570
2021-01-03,87.0.4280.88,240,851,914,880,706,84.0.1,240,881,874,837,720,14.0 (15610.1.28.1.9),253,762,871,753,615,-,251,837,860,567,570
2021-01-05,87.0.4280.88,240,851,914,880,706,84.0.1,240,881,874,837,720,14.0 (15610.1.28.1.9),253,762,871,753,613,-,251,837,860,567,570
2021-01-07,87.0.4280.141,240,851,914,880,706,84.0.2,240,881,874,861,720,14.0 (15610.1.28.1.9),253,762,870,753,613,-,248,837,860,567,570
2021-01-08,87.0.4280.141,240,851,908,880,706,84.0.2,240,881,867,861,720,14.0 (15610.1.28.1.9),253,762,865,753,613,-,248,837,852,567,570
2021-01-09,87.0.4280.141,240,852,908,880,706,84.0.2,240,883,867,861,720,14.0 (15610.1.28.1.9),253,763,865,753,613,-,248,836,852,567,570
2021-01-10,87.0.4280.141,240,852,908,880,706,84.0.2,240,883,867,861,720,14.0 (15610.1.28.1.9),253,763,865,753,615,-,248,836,852,567,570
2021-01-11,87.0.4280.141,240,852,908,880,706,84.0.2,240,883,867,861,720,14.0 (15610.1.28.1.9),253,763,865,753,613,-,248,836,852,567,570
2021-01-12,87.0.4280.141,240,852,908,880,706,84.0.2,240,883,867,861,720,14.0 (15610.1.28.1.9),253,763,865,753,615,-,248,836,852,567,570
2021-01-14,87.0.4280.141,246,852,911,880,706,84.0.2,246,883,871,861,720,14.0 (15610.1.28.1.9),259,763,868,753,615,-,253,836,852,567,570
2021-01-22,88.0.4324.96,905,901,917,880,709,84.0.2,246,943,902,861,720,14.0 (15610.1.28.1.9),259,791,873,753,613,-,250,813,830,567,570
2021-01-23,88.0.4324.96,905,901,917,880,709,84.0.2,246,943,902,861,720,14.0 (15610.1.28.1.9),259,791,873,753,613,-,250,813,830,567,570
2021-01-24,88.0.4324.96,905,901,917,880,709,84.0.2,246,943,902,861,720,14.0 (15610.1.28.1.9),259,791,873,753,615,-,250,813,830,567,571
2021-01-25,88.0.4324.96,905,901,917,880,709,84.0.2,246,943,902,861,720,14.0 (15610.1.28.1.9),259,791,873,753,615,-,250,813,830,567,571
2021-01-29,88.0.4324.96,895,908,918,880,709,85.0,237,956,904,861,720,14.0.2 (15610.3.7.1.10),253,802,877,753,615,-,238,815,826,567,571
2021-01-30,88.0.4324.96,895,908,918,880,709,85.0,237,956,904,861,720,14.0.2 (15610.3.7.1.10),253,802,877,753,613,-,238,815,826,567,570
2021-01-31,88.0.4324.96,901,908,920,880,709,85.0,237,956,905,861,720,14.0.2 (15610.3.7.1.10),253,802,879,753,615,-,238,815,826,567,571
2021-02-03,88.0.4324.146,895,908,920,880,709,85.0,237,956,905,861,720,14.0.2 (15610.3.7.1.10),253,802,879,753,615,-,238,815,826,567,571
2021-02-04,88.0.4324.146,914,908,919,880,709,85.0,243,956,905,861,720,14.0.2 (15610.3.7.1.10),259,802,879,753,615,-,240,815,826,567,571
2021-02-05,88.0.4324.150,920,908,921,880,709,85.0,243,956,907,861,720,14.0.2 (15610.3.7.1.10),259,802,880,753,615,-,240,815,825,567,571
2021-02-06,88.0.4324.150,914,908,921,880,709,85.0.1,243,956,907,861,720,14.0.2 (15610.3.7.1.10),259,802,879,753,615,-,240,815,825,567,571
2021-02-07,88.0.4324.150,920,908,921,880,709,85.0.1,243,956,907,861,720,14.0.2 (15610.3.7.1.10),259,802,880,753,615,-,240,815,825,567,571
2021-02-09,88.0.4324.150,914,908,924,880,709,85.0.1,243,956,910,861,720,14.0.2 (15610.3.7.1.10),259,802,883,753,615,-,240,815,825,567,571
2021-02-12,88.0.4324.150,916,908,927,880,709,85.0.2,237,956,910,861,720,14.0.3 (15610.4.3.1.6),256,803,886,753,615,-,238,816,823,567,571
2021-02-13,88.0.4324.150,920,909,929,880,709,85.0.2,237,957,911,861,720,14.0.3 (15610.4.3.1.6),256,804,887,753,615,-,238,817,819,567,571
2021-02-14,88.0.4324.150,920,909,928,880,709,85.0.2,237,957,911,861,720,14.0.3 (15610.4.3.1.6),256,804,887,753,615,-,238,817,819,567,571
2021-02-16,88.0.4324.150,914,909,929,880,709,85.0.2,237,957,911,861,720,14.0.3 (15610.4.3.1.6),256,804,887,753,615,-,238,817,819,567,571
2021-02-17,88.0.4324.182,920,909,929,880,709,85.0.2,237,957,911,861,720,14.0.3 (15610.4.3.1.6),256,804,887,753,615,-,238,817,819,567,571
2021-02-18,88.0.4324.182,919,909,928,880,709,85.0.2,237,957,911,861,720,14.0.3 (15610.4.3.1.6),256,804,887,753,615,-,237,817,819,567,571
2021-02-19,88.0.4324.182,919,909,928,880,709,85.0.2,237,957,911,861,720,14.0.3 (15610.4.3.1.6),256,804,887,753,615,-,237,817,819,567,571
2021-02-20,88.0.4324.182,912,910,929,880,709,85.0.2,237,958,911,861,720,14.0.3 (15610.4.3.1.6),256,805,887,753,615,-,237,817,819,567,571
2021-02-21,88.0.4324.182,919,910,929,880,709,85.0.2,237,958,911,861,720,14.0.3 (15610.4.3.1.6),256,805,887,753,615,-,237,817,819,567,571
2021-02-22,88.0.4324.182,919,910,928,880,709,85.0.2,237,958,911,861,720,14.0.3 (15610.4.3.1.6),256,805,887,753,615,-,237,817,819,567,571
