date,chrome-version,chrome-interop-2021-aspect-ratio,chrome-interop-2021-flexbox,chrome-interop-2021-grid,chrome-interop-2021-position-sticky,chrome-interop-2021-transforms,chrome-interop-2022-cascade,chrome-interop-2022-color,chrome-interop-2022-contain,chrome-interop-2022-dialog,chrome-interop-2022-forms,chrome-interop-2022-scrolling,chrome-interop-2022-subgrid,chrome-interop-2022-text,chrome-interop-2022-viewport,chrome-interop-2022-webcompat,firefox-version,firefox-interop-2021-aspect-ratio,firefox-interop-2021-flexbox,firefox-interop-2021-grid,firefox-interop-2021-position-sticky,firefox-interop-2021-transforms,firefox-interop-2022-cascade,firefox-interop-2022-color,firefox-interop-2022-contain,firefox-interop-2022-dialog,firefox-interop-2022-forms,firefox-interop-2022-scrolling,firefox-interop-2022-subgrid,firefox-interop-2022-text,firefox-interop-2022-viewport,firefox-interop-2022-webcompat,safari-version,safari-interop-2021-aspect-ratio,safari-interop-2021-flexbox,safari-interop-2021-grid,safari-interop-2021-position-sticky,safari-interop-2021-transforms,safari-interop-2022-cascade,safari-interop-2022-color,safari-interop-2022-contain,safari-interop-2022-dialog,safari-interop-2022-forms,safari-interop-2022-scrolling,safari-interop-2022-subgrid,safari-interop-2022-text,safari-interop-2022-viewport,safari-interop-2022-webcompat
2022-01-02,98.0.4758.9 dev,993,978,978,1000,974,105,467,953,871,932,892,98,677,0,223,97.0a1,970,989,912,892,969,751,500,842,788,890,711,816,965,0,677,137 preview,964,944,963,1000,847,622,907,309,815,661,772,98,783,0,139
2022-01-03,98.0.4758.9 dev,993,978,978,1000,974,105,467,953,871,932,892,98,677,0,223,97.0a1,970,989,912,892,969,751,500,842,788,890,711,816,965,0,677,137 preview,964,944,963,1000,847,622,907,309,815,661,773,98,783,0,139
2022-01-04,98.0.4758.9 dev,993,978,978,1000,974,105,467,953,894,927,892,98,677,0,223,97.0a1,970,989,912,892,969,751,500,842,817,890,711,816,965,0,677,137 preview,964,944,963,1000,846,622,907,309,815,661,773,98,783,0,139
2022-01-05,98.0.4758.9 dev,993,978,978,1000,974,105,467,953,894,927,892,98,677,0,223,97.0a1,970,989,912,892,961,751,521,842,817,890,710,816,965,0,677,137 preview,964,943,963,1000,847,622,907,309,808,666,773,98,783,0,139
2022-01-06,98.0.4758.9 dev,993,978,978,1000,974,105,467,953,894,932,892,98,677,0,223,97.0a1,970,989,912,892,961,751,521,842,828,890,711,816,965,0,677,137 preview,964,944,963,1000,847,622,907,309,815,661,768,98,783,0,139
2022-01-07,98.0.4758.9 dev,993,978,978,1000,974,105,467,953,894,932,892,98,677,0,223,97.0a1,970,990,912,892,961,751,521,842,817,890,710,816,965,0,677,137 preview,964,944,963,1000,847,622,907,309,815,661,768,98,783,0,139
2022-01-08,98.0.4758.9 dev,987,978,978,1000,974,105,467,953,894,927,892,98,677,0,223,97.0a1,970,990,912,892,961,751,521,842,817,890,710,816,965,0,677,137 preview,964,944,963,1000,847,622,907,309,815,661,764,98,783,0,139
2022-01-09,98.0.4758.9 dev,993,978,978,1000,974,105,467,953,894,927,892,98,677,0,223,97.0a1,970,990,912,892,961,751,521,842,828,890,710,816,965,0,677,137 preview,964,944,963,1000,847,622,912,309,815,661,773,98,783,0,139
2022-01-10,98.0.4758.9 dev,993,978,978,1000,974,105,467,953,905,932,892,98,677,0,223,97.0a1,970,990,912,892,961,751,521,842,828,890,711,816,965,0,677,137 preview,964,944,963,1000,847,622,912,309,815,661,763,98,783,0,139
2022-01-11,98.0.4758.9 dev,993,978,978,1000,974,105,467,953,905,932,892,98,677,0,223,98.0a1,970,990,912,892,961,751,521,842,828,890,710,816,965,0,677,137 preview,964,944,963,1000,846,622,912,309,769,661,773,98,783,0,139
2022-01-12,99.0.4818.0 dev,993,978,978,1000,981,774,467,953,917,932,892,98,677,0,223,98.0a1,970,990,912,892,961,751,521,842,839,890,710,816,965,0,677,137 preview,964,944,963,1000,847,622,912,309,826,661,773,98,783,0,139
2022-01-13,99.0.4818.0 dev,993,978,978,1000,981,774,467,953,917,932,892,98,677,0,223,98.0a1,970,990,912,892,961,751,521,842,839,885,710,816,965,0,820,137 preview,964,944,963,1000,847,622,912,309,815,651,764,98,783,0,282
2022-01-14,99.0.4818.0 dev,993,978,978,1000,981,774,467,953,917,932,892,98,677,0,223,98.0a1,970,990,912,892,961,751,521,842,839,890,711,816,965,0,820,137 preview,964,944,963,1000,847,622,912,309,826,661,768,98,783,0,282
2022-01-15,99.0.4818.0 dev,993,978,978,1000,981,774,467,953,917,932,892,98,677,0,223,98.0a1,970,990,912,892,961,751,521,842,839,890,710,816,965,0,820,137 preview,964,944,963,1000,847,622,912,309,808,656,759,98,783,0,282
2022-01-17,99.0.4818.0 dev,993,978,978,1000,981,774,467,953,917,932,892,98,677,0,223,98.0a1,970,990,912,892,961,751,521,842,839,890,710,816,965,0,820,137 preview,964,944,963,1000,847,622,912,309,815,651,773,98,783,0,282
2022-01-18,99.0.4818.0 dev,993,978,978,1000,981,774,467,953,917,932,892,98,677,0,223,98.0a1,970,990,912,892,961,751,521,842,839,890,710,816,965,0,820,137 preview,964,944,963,1000,847,622,912,309,826,661,764,98,783,0,282
2022-01-19,99.0.4818.0 dev,993,978,978,1000,981,774,467,953,924,927,892,98,677,0,223,98.0a1,970,990,912,892,961,751,521,842,847,890,710,816,965,0,820,137 preview,964,944,963,1000,847,622,912,309,827,666,768,98,783,0,282
2022-01-20,99.0.4818.0 dev,993,978,978,1000,981,774,467,953,924,932,892,98,677,23,223,98.0a1,970,990,912,892,961,751,521,842,847,890,710,816,965,23,820,137 preview,964,944,963,1000,847,622,912,309,827,666,764,98,783,142,282
2022-01-21,99.0.4818.0 dev,993,978,978,1000,981,774,467,953,924,932,902,98,677,23,223,98.0a1,970,990,912,892,961,751,521,842,847,890,711,816,965,23,820,138 preview,965,944,963,1000,884,654,912,885,834,664,783,98,783,142,282
2022-01-22,99.0.4840.0 dev,993,978,980,1000,981,774,467,953,924,927,902,98,677,23,223,98.0a1,970,990,912,892,961,751,521,842,847,890,711,816,965,23,820,138 preview,965,944,963,1000,884,654,912,885,834,664,783,98,783,142,282
2022-01-24,99.0.4840.0 dev,993,978,980,1000,981,774,467,953,924,932,902,98,677,23,223,98.0a1,970,990,912,892,961,751,521,842,847,890,710,816,965,23,820,138 preview,965,944,963,1000,884,654,912,885,822,654,783,98,783,142,282
2022-01-27,99.0.4840.0 dev,993,978,980,1000,981,774,467,953,924,932,902,98,677,23,223,98.0a1,970,990,912,892,961,751,521,842,847,890,711,816,965,23,820,138 preview,965,944,963,1000,884,654,912,880,822,654,783,98,783,142,282
2022-01-28,99.0.4844.11 dev,993,978,980,1000,981,774,467,953,924,932,902,98,677,23,223,98.0a1,970,990,912,892,961,751,521,842,847,890,710,816,965,23,820,139 preview,965,948,963,1000,887,727,912,885,839,659,782,98,783,142,424
