date,chrome-version,chrome-interop-2021-aspect-ratio,chrome-interop-2021-flexbox,chrome-interop-2021-grid,chrome-interop-2021-position-sticky,chrome-interop-2021-transforms,chrome-interop-2022-cascade,chrome-interop-2022-color,chrome-interop-2022-contain,chrome-interop-2022-dialog,chrome-interop-2022-forms,chrome-interop-2022-scrolling,chrome-interop-2022-subgrid,chrome-interop-2022-text,chrome-interop-2022-viewport,chrome-interop-2022-webcompat,firefox-version,firefox-interop-2021-aspect-ratio,firefox-interop-2021-flexbox,firefox-interop-2021-grid,firefox-interop-2021-position-sticky,firefox-interop-2021-transforms,firefox-interop-2022-cascade,firefox-interop-2022-color,firefox-interop-2022-contain,firefox-interop-2022-dialog,firefox-interop-2022-forms,firefox-interop-2022-scrolling,firefox-interop-2022-subgrid,firefox-interop-2022-text,firefox-interop-2022-viewport,firefox-interop-2022-webcompat,safari-version,safari-interop-2021-aspect-ratio,safari-interop-2021-flexbox,safari-interop-2021-grid,safari-interop-2021-position-sticky,safari-interop-2021-transforms,safari-interop-2022-cascade,safari-interop-2022-color,safari-interop-2022-contain,safari-interop-2022-dialog,safari-interop-2022-forms,safari-interop-2022-scrolling,safari-interop-2022-subgrid,safari-interop-2022-text,safari-interop-2022-viewport,safari-interop-2022-webcompat
2022-01-01,96.0.4664.110,993,982,977,1000,948,105,466,961,836,912,879,98,692,0,223,95.0.2,976,982,898,892,971,105,461,842,126,873,695,816,893,0,677,15.2 (15612.3.6.1.8),958,920,956,968,824,119,742,308,103,623,716,98,714,0,139
2022-01-03,96.0.4664.110,993,982,977,1000,948,105,466,961,836,917,879,98,692,0,223,95.0.2,976,982,898,892,971,105,461,842,126,873,695,816,893,0,677,15.2 (15612.3.6.1.8),958,920,956,968,825,119,737,308,103,623,716,98,714,0,139
2022-01-04,96.0.4664.110,993,982,977,1000,948,105,466,961,836,912,879,98,692,0,223,95.0.2,976,982,898,892,971,105,461,842,126,873,695,816,893,0,677,15.2 (15612.3.6.1.8),952,920,955,968,825,119,737,308,103,623,716,98,714,0,139
2022-01-05,97.0.4692.71,993,985,977,1000,949,105,466,953,870,920,879,98,692,0,223,95.0.2,976,982,898,892,971,105,461,842,126,873,695,816,893,0,677,15.2 (15612.3.6.1.8),958,920,955,968,825,119,737,308,103,623,716,98,714,0,139
2022-01-06,97.0.4692.71,987,985,977,1000,949,105,466,953,870,920,879,98,692,0,223,95.0.2,976,982,898,892,971,105,461,842,126,873,695,816,893,0,677,15.2 (15612.3.6.1.8),957,920,955,968,825,119,737,308,103,623,716,98,714,0,139
2022-01-07,97.0.4692.71,993,985,977,1000,949,105,466,953,870,920,879,98,692,0,223,95.0.2,976,982,898,892,971,105,461,842,126,873,695,816,893,0,677,15.2 (15612.3.6.1.8),958,920,956,968,825,119,737,308,103,623,716,98,714,0,139
2022-01-08,97.0.4692.71,993,985,977,1000,949,105,466,953,870,920,879,98,692,0,223,95.0.2,976,982,898,892,971,105,461,842,126,873,695,816,893,0,677,15.2 (15612.3.6.1.8),951,920,955,968,825,119,737,308,103,623,716,98,714,0,139
2022-01-09,97.0.4692.71,993,985,977,1000,949,105,466,953,870,920,879,98,692,0,223,95.0.2,976,982,898,892,971,105,461,842,126,873,695,816,893,0,677,15.2 (15612.3.6.1.8),958,920,956,968,824,119,737,308,103,623,716,98,714,0,139
2022-01-11,97.0.4692.71,993,985,977,1000,949,105,466,953,882,920,879,98,692,0,223,95.0.2,976,982,898,892,971,105,461,842,126,873,695,816,893,0,677,15.2 (15612.3.6.1.8),951,920,956,968,825,119,742,308,103,623,716,98,714,0,139
2022-01-12,97.0.4692.71,993,985,977,1000,949,105,466,953,882,920,879,98,692,0,223,96.0,976,984,912,892,971,105,490,842,126,879,709,816,893,0,677,15.2 (15612.3.6.1.8),958,920,956,968,825,119,742,308,103,623,716,98,714,0,139
2022-01-13,97.0.4692.71,993,985,977,1000,949,105,466,953,893,920,879,98,692,0,223,96.0,976,984,912,892,971,105,490,842,126,879,709,816,893,0,820,15.2 (15612.3.6.1.8),957,920,955,968,825,119,742,308,103,623,716,98,714,0,282
2022-01-14,97.0.4692.71,987,985,977,1000,949,105,466,953,893,920,879,98,692,0,223,96.0,976,984,912,892,971,105,490,842,126,879,709,816,893,0,820,15.2 (15612.3.6.1.8),952,920,956,968,825,119,742,308,103,623,716,98,714,0,282
2022-01-16,97.0.4692.71,993,985,977,1000,949,105,466,953,893,920,879,98,692,0,223,96.0.1,976,984,912,892,971,105,490,842,126,879,709,816,893,0,820,15.2 (15612.3.6.1.8),951,920,955,968,825,119,742,308,103,623,716,98,714,0,282
2022-01-17,97.0.4692.71,993,985,977,1000,949,105,466,953,893,920,879,98,692,0,223,96.0.1,976,984,912,892,971,105,490,842,126,879,709,816,893,0,820,15.2 (15612.3.6.1.8),958,920,955,968,825,119,742,308,103,623,716,98,714,0,282
2022-01-19,97.0.4692.71,987,985,977,1000,949,105,466,953,893,920,879,98,692,0,223,96.0.1,976,984,912,892,971,105,490,842,126,879,709,816,893,0,820,15.2 (15612.3.6.1.8),957,920,955,968,825,119,742,308,103,623,716,98,714,0,282
2022-01-20,97.0.4692.99,993,985,977,1000,949,105,466,953,901,920,879,98,692,23,223,96.0.1,976,984,912,892,971,105,490,842,126,879,709,816,893,23,820,15.2 (15612.3.6.1.8),952,920,955,968,825,119,742,308,103,623,716,98,714,23,282
2022-01-21,97.0.4692.99,987,985,977,1000,949,105,466,953,901,920,879,98,692,23,223,96.0.2,976,984,912,892,971,105,490,842,126,879,709,816,893,23,820,15.2 (15612.3.6.1.8),958,920,955,968,825,119,742,308,103,623,716,98,714,23,282
2022-01-22,97.0.4692.99,987,985,977,1000,949,105,466,953,901,920,888,98,692,23,223,96.0.2,976,984,912,892,971,105,490,842,126,879,709,816,893,23,820,15.2 (15612.3.6.1.8),957,920,955,968,825,119,742,308,103,623,722,98,714,23,282
2022-02-04,98.0.4758.80,993,985,978,1000,950,105,464,953,939,925,901,98,692,23,223,96.0.3,976,984,912,892,971,105,490,842,126,877,718,816,893,23,820,15.3 (15612.4.9.1.7),951,920,955,968,825,119,742,308,103,629,722,98,714,23,282
2022-02-05,98.0.4758.80,987,985,978,1000,950,105,464,953,939,925,901,98,692,23,223,96.0.3,976,984,912,892,971,105,490,842,126,877,718,816,893,23,820,15.3 (15612.4.9.1.7),957,920,956,968,825,119,742,308,103,624,722,98,714,23,282
2022-02-06,98.0.4758.80,993,985,978,1000,950,105,464,953,939,925,901,98,692,120,223,96.0.3,976,984,912,892,971,105,490,842,126,877,718,816,893,114,820,15.3 (15612.4.9.1.7),958,920,956,968,825,119,742,308,103,624,722,98,714,114,282
2022-02-08,98.0.4758.80,993,985,978,1000,950,105,464,953,939,925,901,98,692,120,223,96.0.3,976,984,912,892,971,105,490,842,126,877,718,816,893,114,820,15.3 (15612.4.9.1.7),957,920,956,968,825,119,739,308,103,624,722,98,714,114,282
2022-02-09,98.0.4758.80,987,985,978,1000,950,105,464,953,939,925,901,98,692,120,223,97.0,976,990,912,892,963,751,511,842,126,877,716,816,990,114,820,15.3 (15612.4.9.1.7),957,920,955,968,824,119,739,308,103,624,722,98,714,114,282
2022-02-10,98.0.4758.80,993,985,978,1000,946,105,464,953,939,925,901,98,692,120,223,97.0,976,990,912,892,963,751,511,842,126,877,717,816,990,114,820,15.3 (15612.4.9.1.7),951,920,956,968,825,119,739,308,103,629,722,98,714,114,282
2022-02-16,98.0.4758.102,993,985,978,1000,946,105,464,953,962,925,901,98,692,120,223,97.0,976,990,912,892,963,751,511,842,126,877,716,816,990,114,820,15.3 (15612.4.9.1.8),958,920,955,968,825,119,739,308,103,629,722,98,714,114,282
2022-02-17,98.0.4758.102,987,985,978,1000,946,105,464,953,962,925,901,98,692,120,223,97.0,976,990,912,892,963,751,511,842,126,877,717,816,990,114,820,15.3 (15612.4.9.1.8),952,920,955,968,825,119,739,308,103,624,722,98,714,114,282
2022-02-18,98.0.4758.102,993,985,978,1000,946,105,464,953,945,925,901,98,692,120,223,97.0.1,976,990,912,892,963,751,511,842,126,877,717,816,990,114,820,15.3 (15612.4.9.1.8),952,920,956,968,824,119,739,308,103,624,722,98,714,114,282
2022-02-21,98.0.4758.102,993,985,978,1000,946,105,464,953,945,925,901,98,692,120,223,97.0.1,976,990,912,892,963,751,511,842,126,877,718,816,990,114,820,15.3 (15612.4.9.1.8),957,920,955,968,825,119,739,308,103,624,722,98,714,114,282
2022-02-25,98.0.4758.102,993,985,978,1000,946,105,464,953,934,925,901,98,692,120,223,97.0.1,976,990,912,892,963,751,511,842,126,877,717,778,990,114,820,15.3 (15612.4.9.1.8),952,920,956,968,825,119,739,308,103,624,722,98,714,114,282
2022-02-26,98.0.4758.102,993,985,978,1000,946,105,464,953,934,925,901,98,692,120,223,97.0.1,976,990,912,892,963,751,511,842,126,877,717,778,990,114,820,15.3 (15612.4.9.1.8),952,920,956,968,825,119,739,308,103,624,722,98,714,114,282
2022-03-04,99.0.4844.51,993,985,980,1000,953,774,464,953,934,928,901,98,692,120,223,97.0.1,976,990,912,892,963,751,511,842,126,877,718,778,990,114,820,15.3 (15612.4.9.1.8),958,920,955,968,825,119,740,308,103,624,722,98,714,114,282
2022-03-07,99.0.4844.51,987,985,980,1000,953,806,464,953,934,928,901,98,692,120,223,97.0.2,976,990,912,892,963,783,511,842,126,877,716,778,990,114,820,15.3 (15612.4.9.1.8),957,920,956,968,825,152,740,308,103,629,722,98,714,114,282
2022-03-09,99.0.4844.51,987,985,980,1000,953,806,464,953,934,928,901,98,692,120,223,98.0,976,990,912,892,963,783,511,842,913,879,718,778,990,114,820,15.3 (15612.4.9.1.8),952,920,956,968,825,152,740,308,103,624,722,98,714,114,282
2022-03-10,99.0.4844.51,993,985,980,1000,953,806,464,953,934,928,901,98,692,120,223,98.0,976,990,912,892,963,783,511,842,924,879,717,778,990,114,820,15.3 (15612.4.9.1.8),957,920,956,968,825,152,740,308,103,624,722,98,714,114,282
2022-03-15,99.0.4844.51,987,985,980,1000,953,806,464,953,934,923,901,117,692,120,223,98.0.1,976,990,912,892,963,783,511,842,913,874,716,797,990,114,820,15.3 (15612.4.9.1.8),958,920,955,968,824,152,740,308,103,624,722,117,714,114,282
2022-03-25,99.0.4844.82,993,985,980,1000,953,834,464,948,934,928,901,117,692,120,223,98.0.2,976,990,912,892,963,811,511,842,924,879,718,797,990,114,820,15.4 (16613.1.17.1.11),971,954,963,1000,873,787,916,885,915,653,780,117,811,659,424
2022-03-26,99.0.4844.84,993,985,980,1000,953,834,464,948,934,928,901,117,692,120,223,98.0.2,976,990,912,892,963,811,511,842,913,879,717,797,990,114,820,15.4 (16613.1.17.1.11),971,954,963,1000,873,787,916,885,927,663,780,117,811,659,424
2022-03-27,99.0.4844.84,993,985,980,1000,953,834,464,948,934,928,901,117,692,120,223,98.0.2,976,990,912,892,963,811,511,842,924,879,718,797,990,114,820,15.4 (16613.1.17.1.11),971,954,963,1000,873,787,916,885,881,653,780,117,811,659,424
2022-03-28,99.0.4844.84,993,985,980,1000,953,834,464,948,934,923,901,117,692,120,223,98.0.2,976,990,912,892,963,811,511,842,913,879,718,797,990,114,820,15.4 (16613.1.17.1.11),971,954,963,1000,873,787,916,885,927,663,780,117,811,659,424
2022-03-29,99.0.4844.84,987,985,980,1000,953,834,464,948,934,923,901,117,692,120,223,98.0.2,976,990,912,892,963,811,511,842,913,879,718,797,990,114,820,15.4 (16613.1.17.1.11),971,954,963,1000,873,787,916,885,927,663,771,117,811,659,424
2022-03-30,100.0.4896.60,993,985,980,1000,946,834,474,948,945,928,901,117,692,120,223,98.0.2,976,990,912,892,963,811,511,842,930,879,717,797,990,114,820,15.4 (16613.1.17.1.11),971,954,963,1000,873,787,916,885,926,668,771,117,811,659,424
2022-03-31,100.0.4896.60,993,985,980,1000,946,834,474,948,945,928,901,117,692,120,223,98.0.2,976,990,912,892,963,811,511,842,919,879,717,797,990,114,820,15.4 (16613.1.17.1.11),971,954,963,1000,873,787,916,885,932,663,780,117,811,659,424
2022-04-01,100.0.4896.60,993,985,980,1000,946,834,474,948,945,923,901,117,692,120,223,98.0.2,976,990,912,892,963,811,511,842,919,879,716,797,990,114,820,15.4 (16613.1.17.1.13),971,954,963,1000,873,787,916,885,932,663,771,117,811,659,424
2022-04-02,100.0.4896.60,993,985,980,1000,946,834,474,948,945,928,901,117,692,120,223,98.0.2,976,990,912,892,963,811,511,842,919,879,718,797,990,114,820,15.4 (16613.1.17.1.13),971,954,963,1000,873,787,916,885,910,653,780,117,811,659,424
2022-04-03,100.0.4896.60,993,985,980,1000,946,834,474,948,945,923,901,117,692,120,223,98.0.2,976,989,912,892,963,811,511,842,919,879,716,797,990,114,820,15.4 (16613.1.17.1.13),971,954,963,1000,873,787,916,885,932,663,780,117,811,659,424
2022-04-05,100.0.4896.75,993,985,980,1000,946,834,474,948,945,928,901,117,692,120,223,98.0.2,976,990,912,892,963,811,511,842,919,879,718,797,990,114,820,15.4 (16613.1.17.1.13),971,954,963,1000,873,787,916,885,934,663,780,117,811,659,424
2022-04-06,100.0.4896.75,993,985,980,1000,946,834,474,948,945,923,901,117,692,120,223,99.0,976,990,912,892,962,811,511,842,919,879,717,797,990,114,820,15.4 (16613.1.17.1.13),971,954,963,1000,873,787,916,885,923,653,780,117,811,659,424
2022-04-07,100.0.4896.75,987,985,980,1000,946,834,474,948,945,928,901,117,692,120,223,99.0,976,990,912,892,962,811,511,842,919,879,718,797,990,114,820,15.4 (16613.1.17.1.13),971,954,963,1000,873,787,916,885,916,668,780,117,811,659,424
2022-04-08,100.0.4896.75,993,985,980,1000,946,834,474,948,945,923,901,137,692,120,223,99.0,976,990,912,892,962,811,511,842,919,879,718,797,990,114,820,15.4 (16613.1.17.1.13),971,954,963,1000,873,787,916,885,934,663,780,137,811,659,424
2022-04-09,100.0.4896.75,993,985,980,1000,946,834,474,948,945,928,901,137,692,120,223,99.0,976,990,912,892,962,811,511,842,919,879,718,797,990,114,820,15.4 (16613.1.17.1.13),971,954,963,1000,873,787,916,885,934,663,780,137,811,659,424
2022-04-10,100.0.4896.75,993,985,980,1000,946,834,474,948,945,928,901,137,692,120,223,99.0,976,990,912,892,962,811,511,842,919,879,718,797,990,114,820,15.4 (16613.1.17.1.13),971,954,963,1000,873,787,916,885,934,663,780,137,811,659,424
2022-04-11,100.0.4896.75,993,985,980,1000,946,834,474,948,945,928,901,137,692,120,223,99.0,976,990,912,892,962,811,511,842,919,879,718,797,990,114,820,15.4 (16613.1.17.1.13),971,954,963,1000,873,787,916,885,923,653,771,137,811,659,424
2022-04-12,100.0.4896.88,993,985,980,1000,946,834,474,948,945,928,901,137,692,120,223,99.0,976,990,912,892,962,811,511,842,919,879,716,797,990,114,820,15.4 (16613.1.17.1.13),971,954,963,1000,873,787,916,885,934,663,780,137,811,659,424
2022-04-13,100.0.4896.88,993,985,980,1000,946,834,474,948,945,933,901,137,692,120,223,99.0.1,976,990,912,892,962,811,511,842,919,879,718,797,990,120,820,15.4 (16613.1.17.1.13),971,954,963,1000,873,787,916,885,934,663,780,137,811,665,424
2022-04-14,100.0.4896.88,993,985,980,1000,946,834,474,948,945,933,901,137,692,120,223,99.0.1,976,990,912,892,962,811,511,842,919,879,718,797,990,120,820,15.4 (16613.1.17.1.13),971,954,963,1000,873,787,916,885,923,653,780,137,811,665,424
2022-04-15,100.0.4896.127,993,985,980,1000,946,834,474,948,945,928,901,137,692,120,223,99.0.1,976,990,912,892,962,811,511,842,919,879,717,797,990,120,820,15.4 (16613.1.17.1.13),971,954,963,1000,873,787,916,885,934,663,780,137,811,665,424
2022-04-16,100.0.4896.127,993,985,980,1000,946,834,474,948,945,933,901,137,692,120,223,99.0.1,976,990,912,892,962,811,511,842,930,879,717,797,990,120,820,15.4 (16613.1.17.1.13),971,954,963,1000,872,787,916,885,905,658,780,137,811,665,424
2022-04-17,100.0.4896.127,993,985,980,1000,946,834,474,948,945,933,901,137,692,120,223,99.0.1,976,990,912,892,962,811,511,842,919,879,717,797,990,120,820,15.4 (16613.1.17.1.13),971,954,963,1000,873,787,916,885,923,653,780,137,811,665,424
2022-04-18,100.0.4896.127,993,985,980,1000,946,834,474,948,945,933,901,137,692,120,223,99.0.1,976,990,912,892,962,811,511,842,919,879,718,797,990,120,820,15.4 (16613.1.17.1.13),971,954,963,1000,873,787,916,885,927,668,780,137,811,665,424
2022-04-19,100.0.4896.127,993,985,980,1000,946,834,474,948,945,933,910,137,692,120,223,99.0.1,976,990,912,892,962,811,511,842,930,879,718,797,990,120,820,15.4 (16613.1.17.1.13),971,954,963,1000,873,787,916,885,927,668,772,137,811,665,424
2022-04-20,100.0.4896.127,993,985,980,1000,946,834,474,948,945,933,910,137,692,120,223,99.0.1,976,990,912,892,962,811,511,842,930,879,718,836,990,120,820,15.4 (16613.1.17.1.13),971,954,963,1000,873,787,916,885,923,653,781,137,811,665,424
2022-04-21,100.0.4896.127,987,985,980,1000,946,834,474,948,945,933,910,137,692,120,223,99.0.1,976,990,912,892,962,811,511,842,919,879,716,836,990,120,820,15.4 (16613.1.17.1.13),971,954,963,1000,873,787,916,885,934,663,781,137,811,665,424
2022-04-22,100.0.4896.127,993,985,980,1000,946,834,474,948,945,933,910,137,692,120,223,99.0.1,976,990,912,892,962,811,511,842,919,879,718,836,990,120,820,15.4 (16613.1.17.1.13),971,954,963,1000,873,787,916,885,934,663,782,137,811,665,424
2022-04-23,100.0.4896.127,993,985,980,1000,946,834,474,948,945,938,910,137,692,120,223,99.0.1,976,990,912,892,962,811,511,842,930,884,718,836,990,120,820,15.4 (16613.1.17.1.13),971,954,963,1000,873,787,916,885,927,673,782,137,811,665,424
2022-04-24,100.0.4896.127,993,985,980,1000,946,834,474,948,945,939,910,137,692,120,223,99.0.1,976,990,912,892,962,811,511,842,919,884,716,836,990,120,820,15.4 (16613.1.17.1.13),971,954,963,1000,873,787,916,885,934,668,782,137,811,665,424
2022-04-25,100.0.4896.127,993,985,980,1000,946,834,474,948,945,939,910,137,692,120,223,99.0.1,976,990,912,892,962,811,511,842,919,884,717,836,990,120,820,15.4 (16613.1.17.1.13),971,954,963,1000,873,787,916,885,923,658,782,137,811,665,424
2022-04-26,100.0.4896.127,993,985,980,1000,946,834,474,948,945,939,910,137,692,120,223,99.0.1,976,990,912,892,962,811,511,842,919,884,718,836,990,120,820,15.4 (16613.1.17.1.13),971,954,963,1000,873,787,916,885,934,668,782,137,811,665,424
2022-04-27,101.0.4951.41,993,985,980,1000,946,866,506,953,962,939,910,137,692,120,223,99.0.1,976,990,912,892,962,844,511,842,930,884,717,836,990,120,820,15.4 (16613.1.17.1.13),971,954,963,1000,873,816,916,885,888,658,772,137,811,665,424
2022-04-30,101.0.4951.41,993,985,980,1000,946,866,506,953,962,939,910,137,692,120,223,99.0.1,976,990,912,892,962,844,511,842,919,884,716,836,990,120,820,15.4 (16613.1.17.1.13),971,954,963,1000,873,816,916,885,934,668,782,137,811,665,424
2022-05-01,101.0.4951.41,993,985,980,1000,946,866,506,953,962,939,910,137,692,120,223,99.0.1,976,990,912,892,962,844,511,842,919,884,718,836,990,120,820,15.4 (16613.1.17.1.13),971,954,963,1000,873,816,916,885,911,663,782,137,811,665,424
2022-05-03,101.0.4951.54,993,985,980,1000,946,866,506,953,962,939,910,176,692,120,223,99.0.1,976,990,912,892,962,844,511,842,919,884,717,856,990,120,820,15.4 (16613.1.17.1.13),971,954,963,1000,873,816,916,885,893,663,782,176,811,665,424
2022-05-04,101.0.4951.54,993,985,980,1000,946,962,506,953,962,939,910,176,692,120,223,100.0,976,990,912,892,962,940,511,842,924,884,718,856,990,120,820,15.4 (16613.1.17.1.13),971,954,963,1000,873,816,916,885,934,669,782,176,811,665,424
2022-05-05,101.0.4951.54,993,985,980,1000,946,962,506,953,962,939,910,176,692,120,223,100.0,976,990,912,892,962,940,511,842,924,884,718,856,990,120,820,15.4 (16613.1.17.1.13),971,954,963,1000,873,816,916,885,934,669,777,176,811,665,424
2022-05-06,101.0.4951.54,987,985,980,1000,946,962,506,953,962,939,910,176,692,120,223,100.0,976,990,912,892,962,940,511,842,924,884,718,856,990,120,820,15.4 (16613.1.17.1.13),971,954,963,1000,873,816,916,885,934,669,782,176,811,665,424
2022-05-07,101.0.4951.54,987,985,980,1000,946,962,506,953,962,939,910,176,692,120,366,100.0,976,990,912,892,962,940,511,842,924,884,718,856,990,120,820,15.4 (16613.1.17.1.13),971,954,963,1000,872,816,916,885,934,669,782,176,811,665,567
2022-05-08,101.0.4951.54,987,985,980,1000,946,962,506,953,962,939,910,176,692,120,366,100.0,976,990,912,892,962,940,511,842,924,884,718,856,990,120,820,15.4 (16613.1.17.1.13),971,954,963,1000,873,816,916,885,934,669,782,176,811,665,567
