sha,date,manifest,chrome-version,chrome,firefox-version,firefox,safari-version,safari,interop,features
984156521a45b97285c47ff4039bb00a045bdbeb,2026-01-28,merge_pr_57359,144.0.7559.109,84.7,147.0.2,78.6,26.2 (21623.1.14.11.9),75.9,67.8,793
9fb0c34afd20d2cd5ea73cd50e2400a0c5b3159f,2026-02-01,merge_pr_54597,145.0.7632.26,85.1,147.0.2,78.8,26.2 (21623.1.14.11.9),75.6,67.8,798
5f73ca676a8df682982723228050896bf8167f84,2026-02-02,merge_pr_57474,145.0.7632.26,85.0,147.0.2,78.7,26.2 (21623.1.14.11.9),75.8,67.9,798
f0eca2510fc992fb649b03d0a35b08e5341c33bc,2026-02-03,merge_pr_57493,145.0.7632.26,85.1,147.0.2,78.8,26.2 (21623.1.14.11.9),75.6,67.7,798
4a94882eeb56495a5d8cba0fb2ac607e26ac1786,2026-02-04,merge_pr_57546,144.0.7559.133,84.6,147.0.2,78.7,26.2 (21623.1.14.11.9),75.8,67.7,798
426876121824b18b91a0a82e639b7c90776f96a6,2026-02-05,merge_pr_57564,145.0.7632.46,85.2,147.0.3,79.0,26.2 (21623.1.14.11.9),75.8,68.1,809
872616f175c4e085a57f9dfe704554abca460df1,2026-02-06,merge_pr_57590,145.0.7632.46,85.2,147.0.3,79.1,26.2 (21623.1.14.11.9),75.7,67.9,809
12353561d8dab8ac12323a8b081aeb709c51067f,2026-02-07,merge_pr_57628,145.0.7632.46,85.2,147.0.3,79.1,26.2 (21623.1.14.11.9),75.8,68.1,809
453d0bcb6add6880901cc40ff280b170f9d7fa97,2026-02-08,merge_pr_57613,145.0.7632.46,85.2,147.0.3,79.1,26.2 (21623.1.14.11.9),75.6,67.9,809
054cb29b329ba0f23a4c26334b070bd7a2d614ef,2026-02-09,merge_pr_57621,145.0.7632.46,85.2,147.0.3,79.1,26.2 (21623.1.14.11.9),75.7,68.0,809
3314e513456091cdb259136ea3413793bea9613a,2026-02-10,merge_pr_57668,145.0.7632.46,85.2,147.0.3,79.1,26.2 (21623.1.14.11.9),75.7,68.0,809
8b090043d5beda4b08011a12d10d287a84b92f27,2026-02-12,merge_pr_57725,145.0.7632.46,85.2,147.0.3,79.0,26.2 (21623.1.14.11.9),75.8,68.1,809
